---
source_url: https://www.youtube.com/watch?v=V_jJvPjytSg
source_kind: youtube-transcript
ingested: 2026-07-13
sha256: ff336dc2c0d83d475fa0ca07f86ad406d3ca701588bcac35db9ab13576527d6f
model: faster-whisper / Systran-faster-whisper-tiny / int8
language: zh
duration_seconds: 2928.936000
quality: medium
---

[原始檔案位置: ~/ob_repos/yt-podcast-pipeline/transcripts/V_jJvPjytSg_fw.txt]

注意:
- 來源: 「理財達人秀 EBCmoneyshow」頻道
[169.69 -> 170.69] 還有出來說
[170.69 -> 171.69] 還說
[171.69 -> 172.69] 可能是因為
[172.69 -> 173.69] 預期心理
[173.69 -> 175.69] 之前股價掌過了
[175.69 -> 176.69] 我大家都會下班
[176.69 -> 177.69] 最股票語
[177.69 -> 179.69] 專業數以
[180.69 -> 181.69] 但是到底
[181.69 -> 182.69] 最近事情能不能
[182.69 -> 183.69] 在明後兩天
[183.69 -> 184.69] 做一點頻繁
[184.69 -> 185.69] 可能要觀察一下
[185.69 -> 186.69] 明明是好貨利呀
[186.69 -> 187.69] 是
[187.69 -> 188.69] 那再來的話
[188.69 -> 189.69] 過去大個之前
[189.69 -> 190.69] 我們都覺得
[190.69 -> 191.69] 國具有得了
[191.69 -> 192.69] 不會疊的病
[192.69 -> 193.69] 從來沒有什麼
[193.69 -> 194.69] 碰越限制龍事情
[194.69 -> 195.69] 今天疊挺
[195.69 -> 197.69] 把越限給疊破了
[197.69 -> 198.69] 好
[198.69 -> 199.69] 另外一個不會疊的
[199.69 -> 200.69] 病是主動元件
[200.69 -> 201.69] 公務員見
[201.69 -> 203.69] 今天也有人疊挺
[203.69 -> 204.69] 不過父頂相對之下
[204.69 -> 206.69] 還是還看疊的
[206.69 -> 208.69] 到底要去報嗎
[208.69 -> 210.69] 疊挺相嗎
[210.69 -> 212.69] 我覺得可以聽看聽
[212.69 -> 214.69] 因為像日本春田
[214.69 -> 216.69] 疊得也不清
[216.69 -> 218.69] 那我覺得一個領頭養疊破
[218.69 -> 219.69] 越限可能是短線
[219.69 -> 220.69] 要正當的訊號
[220.69 -> 221.69] 當然合生黨還是很講
[221.69 -> 223.69] 合生黨算另一個領頭養嗎
[223.69 -> 224.69] 他可能剛破五日訊線
[224.69 -> 226.69] 但我覺得國具比較有代表意味
[226.69 -> 228.69] 所以我覺得可以休息個兩天
[228.69 -> 229.69] 看一下有沒有機會
[229.69 -> 230.69] 三天內站回來
[230.69 -> 232.69] 那也許就是假疊破
[232.69 -> 233.69] 到時候再關注就好
[233.69 -> 234.69] 不過我看到非常多人
[234.69 -> 235.69] 想要去搶過去
[235.69 -> 236.69] 也是的
[236.69 -> 237.69] 網路上很多這也叫
[237.69 -> 238.69] 留意的一件事
[238.69 -> 239.69] 然後在文化風测
[239.69 -> 240.69] 從日月光開始
[240.69 -> 241.69] 經過另一項長家
[241.69 -> 243.69] 結果今天裝上
[243.69 -> 245.69] 沒沒是個肌肉子
[245.69 -> 246.69] 全經常一樣
[246.69 -> 247.69] 有很多人是殺到
[247.69 -> 248.69] 疊疊反
[248.69 -> 249.69] 細革心全
[249.69 -> 250.69] 沒有
[250.69 -> 251.69] 好 到底是不是給機會
[251.69 -> 253.69] 要怎麼樣才能安心的
[253.69 -> 255.69] 相信他們來做家馬
[255.69 -> 258.69] 那我們就從這裡面
[258.69 -> 260.69] 捲起豐爆的
[260.69 -> 262.69] 這一家研調機構來探起
[262.69 -> 263.69] 好的
[263.69 -> 264.69] 好
[264.69 -> 265.69] 好 那我們先來看
[265.69 -> 267.69] 指出這一根到底有沒有問題
[267.69 -> 269.69] 好 這根我必須說
[269.69 -> 271.69] 短線上有一點小的問題
[271.69 -> 272.69] 什麼問題
[272.69 -> 273.69] 就是我們在這邊
[273.69 -> 275.69] 三天回月線
[275.69 -> 276.69] 创新高對不對
[276.69 -> 278.69] 三天回月線 创新高
[278.69 -> 279.69] 但我們這邊
[279.69 -> 281.69] 三天這三天回月線
[281.69 -> 283.69] 但迎來的是一個盤子
[283.69 -> 285.69] 就是沒有立即去创新高
[285.69 -> 287.69] 當然因為中間的故事很多
[287.69 -> 288.69] 就譬如說一下是
[288.69 -> 289.69] 這個Metá說要賣算利
[289.69 -> 291.69] 所以美國半導體上一半很辛苦
[291.69 -> 292.69] 那昨天反彈
[292.69 -> 294.69] 又這個原本五爬
[294.69 -> 297.69] 那原本今天想說來反彈一下
[297.69 -> 299.69] 結果我們韓國也在跟著一起
[299.69 -> 301.69] 帶動亞洲股市總會
[301.69 -> 302.69] 所以現在有點多是之求
[302.69 -> 303.69] 那都是是就過程中
[303.69 -> 304.69] 我們把上一半
[304.69 -> 305.69] 大概還記得上一半
[305.69 -> 306.69] 四底半五
[306.69 -> 308.69] 開低千點拉平盤
[308.69 -> 311.69] 所以拉了兩隻長大一千多點
[311.69 -> 312.69] 九百多點的下雨
[312.69 -> 313.69] 但是這個下雨
[313.69 -> 316.69] 現在在今天其實都是做跌破了
[316.69 -> 317.69] 都跌破了
[317.69 -> 319.69] 對 那同時月線也跌破了
[319.69 -> 320.69] 所以呢目前來說
[320.69 -> 321.69] 我當然要注意一下
[321.69 -> 323.69] 就是短線的政盤
[323.69 -> 324.69] 會持續加劇
[324.69 -> 326.69] 但是這邊也不是要恐怖大家
[326.69 -> 327.69] 或者說就是空頭了
[327.69 -> 329.69] 跟大家提醒一下
[329.69 -> 330.69] 這個前低才是最重要
[330.69 -> 333.69] 目前大概四千五左右
[333.69 -> 335.69] 有時太遠耶
[335.69 -> 337.69] 對大概是一千點左右
[337.69 -> 338.69] 這個位置為什麼很重要
[338.69 -> 340.69] 因為這裡是一個前低
[340.69 -> 342.69] 這裡是一個新高
[342.69 -> 343.69] 這個是前高
[343.69 -> 345.69] 所以已經新高
[345.69 -> 347.69] 那你這裡就不能新低
[347.69 -> 348.69] 第一前低
[348.69 -> 349.69] 因為會形成導微型
[349.69 -> 351.69] 所以短線的整理可能
[351.69 -> 352.69] 就會時間不空就會大得更大
[352.69 -> 353.69] 那你就就是說
[353.69 -> 355.69] 如果這邊還是整理好的話
[355.69 -> 356.69] 那我們這邊還是守好的話
[356.69 -> 357.69] 我們就就有可能在一個
[357.69 -> 358.69] 去接做一個政盤
[358.69 -> 359.69] 有就是說
[359.69 -> 360.69] 其實我覺得這個
[360.69 -> 361.69] 禮拜下班之後非常重要
[361.69 -> 362.69] 所以呢
[362.69 -> 363.69] 這個我覺得這兩個天
[363.69 -> 364.69] 我們要稍微注意一下
[364.69 -> 365.69] 如果能夠持續守
[365.69 -> 366.69] 或者說像這裡一樣
[366.69 -> 367.69] 我們碰前低
[367.69 -> 368.69] 拉一個長長下眼線
[368.69 -> 369.69] 那我反而覺得
[369.69 -> 371.69] 會不是為一個短線的買點
[371.69 -> 372.69] 當然如果跌破了
[372.69 -> 374.69] 那我們就要稍微繼續關注一下
[374.69 -> 376.69] 整理到什麼時候
[376.69 -> 377.69] 但是我覺得家群子
[377.69 -> 380.69] 沒有辦法再不要我們股民的心情
[380.69 -> 381.69] 因為臺肌的相對
[381.69 -> 383.69] 臺肌的相對抗比
[383.69 -> 384.69] 相接著上半場
[384.69 -> 385.69] 可以一定都是紅的
[385.69 -> 386.69] 可是呢
[386.69 -> 387.69] 中小辛苦跟貴買
[387.69 -> 389.69] 早就已經在地上爬了
[389.69 -> 390.69] 是
[390.69 -> 392.69] 我這看一下11點的時候
[392.69 -> 393.69] 這貴買跌兩爬
[393.69 -> 394.69] 我有什麼跌兩爬
[394.69 -> 395.69] 然後12點半
[395.69 -> 396.69] 那怎麼跌4爬
[396.69 -> 398.69] 那這多一倍跌跌
[398.69 -> 399.69] 那貴買目前來說
[399.69 -> 400.69] 也是比較辛苦
[400.69 -> 402.69] 我們碰到錢高壓力去沒有過
[402.69 -> 403.69] 沒有過
[403.69 -> 405.69] 今天這個賣壓非常地沉重
[405.69 -> 406.69] 也跟大盤一樣
[406.69 -> 408.69] 就跌破了三個短線
[408.69 -> 409.69] 52時
[409.69 -> 410.69] 但是跟大盤觀察方是一樣
[410.69 -> 412.69] 我覺得錢低要收好
[412.69 -> 414.69] 因為這裡才不會形成
[414.69 -> 415.69] 導援型
[415.69 -> 416.69] 當然既現也接近
[416.69 -> 418.69] 所以我覺得這裡合理
[418.69 -> 419.69] 我們從這個去年舍
[419.69 -> 421.69] 越以來貴買沒有碰過既現
[421.69 -> 422.69] 所以第一次碰到
[422.69 -> 424.69] 我覺得都會是強制成
[424.69 -> 425.69] 目前來說
[425.69 -> 427.69] 我覺得也不是轉空
[427.69 -> 428.69] 就跟大盤一樣
[428.69 -> 429.69] 都不是轉空
[429.69 -> 430.69] 當然今天體感不好
[430.69 -> 432.69] 因為有經驗有觀察很多
[432.69 -> 433.69] 主動式的一貴服務
[433.69 -> 435.69] 是上他們是來測這個錢低的
[435.69 -> 436.69] 對
[436.69 -> 438.69] 他們沒有像家群子素的心態
[438.69 -> 440.69] 因為裡面有很多虎拔的
[440.69 -> 442.69] 熱門中小興提採不及
[442.69 -> 443.69] 是的
[443.69 -> 445.69] 又是PZB的大族群
[445.69 -> 447.69] 所以整理的服度是真的比較大
[447.69 -> 448.69] 是
[448.69 -> 449.69] 那我們來看一下道理是誰
[449.69 -> 450.69] 誰啦
[450.69 -> 451.69] 就是這間公司
[451.69 -> 453.69] 真的CMEA and the Lise
[453.69 -> 454.69] 半導體分析
[454.69 -> 456.69] 我覺得她真的講了很多
[456.69 -> 458.69] 但是我發現有一些特別的地方
[458.69 -> 459.69] 怎麼樣
[459.69 -> 460.69] 6月降美光
[460.69 -> 462.69] 6月初降
[462.69 -> 463.69] 看記憶體
[463.69 -> 465.69] 所以她6月集中公結是誰
[465.69 -> 466.69] 記憶體
[466.69 -> 467.69] 但是美光後面打臉
[467.69 -> 468.69] 因為美光後面創新高嘛
[468.69 -> 469.69] 你所也創新高
[469.69 -> 470.69] 固家也創新高
[470.69 -> 471.69] 所以顯示是
[471.69 -> 472.69] 什麼顯示是
[472.69 -> 475.69] 她確實是針對一些高估值的
[475.69 -> 476.69] 各國
[476.69 -> 477.69] 她其實就是換句話講而已
[477.69 -> 478.69] 如果你說
[478.69 -> 479.69] 這個推尺到2020
[479.69 -> 480.69] 8月6日
[480.69 -> 481.69] 就是HVDC
[481.69 -> 483.69] 20208會大量出現
[483.69 -> 484.69] 沒有產品
[484.69 -> 485.69] 我們就是利多了
[485.69 -> 487.69] 如果說要延遲到2019
[487.69 -> 489.69] 我確定出貨量產2019
[489.69 -> 491.69] 這個可能肯僅就有不一樣
[491.69 -> 493.69] 所以我覺得她有一點點
[493.69 -> 494.69] 而且她很有趣
[494.69 -> 496.69] 她是PZB這個她講完空方之後
[496.69 -> 498.69] 她最近有出新聞說
[498.69 -> 499.69] 要跟另外一家公司
[499.69 -> 501.69] 在下半年主一個CPO的
[501.69 -> 502.69] ETVF
[502.69 -> 503.69] 對
[503.69 -> 505.69] 就是想要先抵下來嘛
[505.69 -> 506.69] 就反而要重新買
[506.69 -> 508.69] 所以其實在表情性也看好
[508.69 -> 509.69] 那整長多嘛
[509.69 -> 510.69] 我覺得她滿聰明
[510.69 -> 511.69] 因為像最近
[511.69 -> 512.69] SBSX沒有大長
[512.69 -> 514.69] 要是今天SBSX大長
[514.69 -> 515.69] 她可能就會出一個
[515.69 -> 516.69] 太貴了
[516.69 -> 517.69] 算力
[517.69 -> 518.69] 可能要到2020
[518.69 -> 519.69] 這位前男生
[519.69 -> 520.69] 對
[520.69 -> 521.69] 長多了嘛
[521.69 -> 522.69] 你看像這一次PZB一樣
[522.69 -> 523.69] 他說這個Caper
[523.69 -> 525.69] NVL會延遲
[525.69 -> 527.69] NVL576會面臨演期
[527.69 -> 528.69] 為什麼
[528.69 -> 529.69] 因為PZB自從難度很高
[529.69 -> 530.69] 高到78層
[530.69 -> 532.69] 不是本來就記住很高
[532.69 -> 533.69] 所以才要找新行嘛
[533.69 -> 534.69] 對
[534.69 -> 535.69] 那可能PZB
[535.69 -> 537.69] ABSV前一陣子又創新高嘛
[537.69 -> 538.69] 所以唱新高
[538.69 -> 539.69] 也出展出現這種力攻
[539.69 -> 540.69] 人很多
[540.69 -> 542.69] 就會出現人才人的狀態
[542.69 -> 543.69] 所以與其
[543.69 -> 545.69] 在這麼熱的時候
[545.69 -> 546.69] 她講的話
[546.69 -> 548.69] 就難免有那麼大的音響力
[548.69 -> 549.69] 但某種程度
[549.69 -> 551.69] 也希望大家看到一下
[551.69 -> 552.69] 重新再來看一下
[552.69 -> 554.69] 我們產意面的情形
[554.69 -> 555.69] 是的
[555.69 -> 557.69] 所以我個人覺得產意面是沒什麼問題
[557.69 -> 558.69] 當然短線
[558.69 -> 559.69] 我們看一下目前只標2個
[559.69 -> 560.69] 各股
[560.69 -> 562.69] 一個就是CZB有龍頭
[562.69 -> 563.69] 臺光電
[563.69 -> 564.69] 出關創新高
[564.69 -> 565.69] 昨天接的點停
[565.69 -> 567.69] 今天開高在走低跌5%
[567.69 -> 568.69] 早上很強
[568.69 -> 569.69] 對
[569.69 -> 570.69] 可是很可以注意到
[570.69 -> 571.69] 這個形態上
[571.69 -> 573.69] 當然我覺得都沒有什麼態度問題
[573.69 -> 574.69] 就是一個緩步電高
[574.69 -> 575.69] 已經來到這個位置
[575.69 -> 576.69] 現在就是緩電高
[576.69 -> 577.69] 不可能在向以前
[577.69 -> 579.69] 這樣整個月拉個30%
[579.69 -> 580.69] 比較難
[580.69 -> 581.69] 但是他可以這樣子
[581.69 -> 582.69] 回來的時候
[582.69 -> 583.69] 有這個法人盤
[583.69 -> 584.19] 慢慢的買上去
[584.19 -> 585.19] 所以以技術面上觀察
[585.19 -> 586.19] 當然我們不要說
[586.19 -> 587.19] 這個永遠都是鬼故事
[587.19 -> 588.19] 我還是看一下
[588.19 -> 589.19] 形態上到底
[589.19 -> 590.19] 大家信心有沒有困在
[590.19 -> 591.19] 我覺得這個技術面
[591.19 -> 592.19] 目前都還在
[592.19 -> 594.19] 所以應該不用在
[594.19 -> 595.19] 泰國與緊張
[595.19 -> 596.19] 除非是這邊買的人
[596.19 -> 597.19] 可能會比較緊張
[597.19 -> 598.19] 但目前來說
[598.19 -> 599.19] 這個前低有手
[599.19 -> 601.19] 然後技術面有手
[601.19 -> 602.19] 我覺得就是一個
[602.19 -> 603.19] 合力的形態波動
[603.19 -> 604.19] 所以這個技術面上
[604.19 -> 606.19] 我目前覺得沒有太多問題
[606.19 -> 608.19] 因為越線前面都跌不過很多字
[608.19 -> 609.19] 但都站回來
[609.19 -> 610.19] 是的
[610.19 -> 611.19] 好 外資大賣
[611.19 -> 612.19] 可是這邊頭性
[612.19 -> 613.19] 有在鏡場做家
[613.19 -> 613.69] 對
[613.69 -> 615.69] 那也在多對做的狀態
[615.69 -> 616.69] 我覺得技術
[616.69 -> 618.69] 手術物就不用太多問題
[618.69 -> 619.69] 而且他是創高的回落
[619.69 -> 620.69] 它是精神指標
[620.69 -> 621.69] 難線是這一波
[621.69 -> 623.69] ABAF裡面最強的
[623.69 -> 624.69] 對 這一波
[624.69 -> 625.69] 反而是新興還沒有去過高
[625.69 -> 626.69] 不過難練
[626.69 -> 627.69] 今天也很強
[627.69 -> 628.69] 早上很強
[628.69 -> 629.69] 開低
[629.69 -> 630.69] 拉長五
[630.69 -> 631.69] 最後又收長
[631.69 -> 632.69] 收底四
[632.69 -> 634.69] 目前來說也是創新高的壓迴
[634.69 -> 635.69] 目前的形態
[635.69 -> 637.69] 這邊的平台有手
[637.69 -> 638.69] 所以我覺得
[638.69 -> 639.69] 會在觀察一下
[639.69 -> 641.69] 有沒有出現新買點的機會
[641.69 -> 642.69] 因為難練
[642.69 -> 643.69] PISABAF
[643.69 -> 644.69] 一下說什麼
[644.69 -> 645.69] 三星要求降價
[645.69 -> 646.69] 對
[646.69 -> 647.69] 不太可能降價
[647.69 -> 648.69] 這邊又被拘緊
[648.69 -> 649.69] 所以我覺得短線上
[649.69 -> 650.69] 確實從馬亂
[650.69 -> 651.69] 可能拉心太比較
[651.69 -> 653.69] 沒有這麼辦法去
[653.69 -> 655.69] 手助這個狀態
[655.69 -> 656.69] 所以我覺得
[656.69 -> 657.69] 短線立空消化完
[657.69 -> 658.69] 再來看一下
[658.69 -> 659.69] 既限這個位置
[659.69 -> 661.69] 有沒有一個比較好的買點出現
[661.69 -> 662.69] 短線在市頭上
[662.69 -> 663.69] 所以就不用硬要去
[663.69 -> 664.69] 從來充去的
[664.69 -> 665.69] 我覺得有質問
[665.69 -> 666.69] 有消化掉
[666.69 -> 667.69] 在重新進場就好
[667.69 -> 669.69] 這邊火會比較擔心
[669.69 -> 670.69] 是說頭性最近不很多
[670.69 -> 671.69] 是
[671.69 -> 672.69] 我聽說的停車
[672.69 -> 673.69] 賣、換五超坐
[673.69 -> 674.69] 頭性
[674.69 -> 675.69] 它會這樣子買
[675.69 -> 676.69] 有的時候
[676.69 -> 677.69] 因為頭性會比較追加
[677.69 -> 678.69] 對
[678.69 -> 679.69] 我會覺得
[679.69 -> 680.69] 我反而覺得頭性
[680.69 -> 681.69] 如果有持續在買
[681.69 -> 682.69] 會比較放心
[682.69 -> 683.69] 反而是跌下的時候
[683.69 -> 684.69] 頭性在賣
[684.69 -> 685.69] 我會覺得
[685.69 -> 686.69] 會不會是什麼
[686.69 -> 687.69] 主動是一定的夫
[687.69 -> 688.69] 或者說那一支盤
[688.69 -> 689.69] 在做條件
[689.69 -> 690.69] 我覺得比較擔心一點點
[690.69 -> 691.69] 所以我覺得
[691.69 -> 693.69] 這邊只要持續在進入
[693.69 -> 694.69] 一個買超的狀態
[694.69 -> 695.69] 然後行態上有打出來
[695.69 -> 696.69] 反而可以去注意
[696.69 -> 698.69] 現在有沒有機會去吃一點
[698.69 -> 699.69] 頭性的豆腐
[699.69 -> 700.69] 因為你買得比較便宜
[700.69 -> 701.69] 所以我覺得
[701.69 -> 703.69] 就是等行態上的轉好
[703.69 -> 704.69] 再來做節目就好
[704.69 -> 706.69] 最近外資還是持續的
[706.69 -> 708.69] 買也許跟新台幣比較走路
[708.69 -> 709.69] 沒錯
[709.69 -> 710.69] 有一點關係
[710.69 -> 711.69] 我們都是靠頭性護盤
[711.69 -> 712.69] 其實今年來頭性
[712.69 -> 713.69] 是一個一直買
[713.69 -> 714.69] 一直買也是三屋朋友
[714.69 -> 715.69] 第四大法人
[715.69 -> 716.69] 加油
[716.69 -> 717.69] 我現在很存在的
[717.69 -> 718.69] 還會很新台
[718.69 -> 720.69] 外資到今天還在大買
[720.69 -> 722.69] 所以大家可能會比較辛苦一點
[722.69 -> 725.69] 所以在下一段節目裡面
[725.69 -> 726.69] 我們就要來聊
[726.69 -> 727.69] 今天有那麼多的公司
[727.69 -> 728.69] 下跌
[728.69 -> 729.69] 我們剛才講了一些原因
[730.69 -> 732.69] 這些謠言很厲害
[732.69 -> 734.69] 都是抓到已經大長
[734.69 -> 737.69] 恩悲在高檔正當的一些公司
[737.69 -> 738.69] 來做居級
[738.69 -> 739.69] 但是居級完之後
[739.69 -> 740.69] 不防回到
[740.69 -> 741.69] 我們產業的基本面來看
[741.69 -> 742.69] 下一段
[742.69 -> 743.69] 蔡倫教帶來
[743.69 -> 744.69] 如果跌下來
[744.69 -> 746.69] 今天在這麼多點聽版的公司裡面
[746.69 -> 747.69] 你應該看來
[747.69 -> 748.69] 一個產業是你
[748.69 -> 750.69] 堅起來最安心的
[750.69 -> 761.38] 好
[761.38 -> 762.38] 當然我們在講之前
[762.38 -> 763.38] 還是幫大家看一下
[763.38 -> 765.38] 全職股相關的部分
[765.38 -> 766.38] 好
[766.38 -> 767.38] 台積電剛剛講了
[767.38 -> 769.38] 他其實相對比較強
[769.38 -> 771.38] 所以也讓其他的中小鼓
[771.38 -> 773.38] 好辛苦
[773.38 -> 774.38] 非常辛苦
[774.38 -> 775.38] 我們看起來也紅了大半場
[775.38 -> 777.38] 他到了大概12點
[777.38 -> 779.38] 10分左右
[779.38 -> 780.38] 才慢慢變率
[780.38 -> 781.38] 才翻黑
[781.38 -> 782.38] 對
[782.38 -> 783.38] 不太驚豬的時候
[783.38 -> 784.38] 你可以發現他在法說前戲
[784.38 -> 786.38] 真的比較成一點點
[786.38 -> 787.38] 人家沒有長就已經
[787.38 -> 788.38] 說了
[788.38 -> 789.38] 當我選該有長
[789.38 -> 790.38] 對
[790.38 -> 791.38] 所以我覺得
[791.38 -> 792.38] 這一波航行情已經相對
[792.38 -> 793.38] 可能當然
[793.38 -> 794.38] 因為你可以看到技術面上
[794.38 -> 796.38] 也是2000、5000、3000
[796.38 -> 798.38] 所以也確實受到一些組例
[798.38 -> 799.38] 不過主力
[799.38 -> 800.38] 我們剛說了大盤破月線
[800.38 -> 801.38] 台積電跟月線
[801.38 -> 802.38] 還有一些小小的關於
[802.38 -> 804.38] 所以台積電已經相...
[804.38 -> 805.38] 算相對強勢
[805.38 -> 806.38] 好
[806.38 -> 807.38] 這樣我們看到右邊就是
[807.38 -> 808.38] 月光頭空
[808.38 -> 809.38] 因為他們頭空上個禮拜
[809.38 -> 811.38] 才能創一個新高
[811.38 -> 812.38] 這三天回來
[812.38 -> 813.38] 就回車到六千
[813.38 -> 814.38] 六百五十塊
[814.38 -> 816.38] 所以跌輔也是大概70塊
[816.38 -> 817.38] 80塊左右
[817.38 -> 818.38] 所以也是跌得有一點點
[818.38 -> 819.38] 不舒服
[819.38 -> 820.38] 可是相對情
[820.38 -> 822.38] 我只能說相對情
[822.38 -> 824.38] 但這個趨勢都還在月線執行
[824.38 -> 825.38] 我覺得月光長線
[825.38 -> 827.38] 應該還是有往一個好的目標
[827.38 -> 828.38] 叫做靠龍的
[828.38 -> 829.38] 是
[829.38 -> 830.38] 我們從月光就來看
[830.38 -> 831.38] 剛剛特別提到
[831.38 -> 832.38] 今天跌停版的公司
[832.38 -> 833.38] 你們當然不是月光
[833.38 -> 834.38] 可是細格啦
[834.38 -> 835.38] 新選這些算是
