---
source_url: https://www.youtube.com/watch?v=Or-gZxDhTS0
source_kind: youtube-transcript
ingested: 2026-07-13
sha256: 73fababa407f363d98a2d358d0150173ae7a4098442903663de4f4d8556274da
model: faster-whisper / Systran-faster-whisper-tiny / int8
language: zh
duration_seconds: 2929.992000
quality: medium
---

[原始檔案位置: ~/ob_repos/yt-podcast-pipeline/transcripts/Or-gZxDhTS0_fw.txt]

注意:
- 來源: 「理財達人秀 EBCmoneyshow」頻道
[080.47 -> 082.75] 因為您說有沒有國際性的力攻
[082.75 -> 084.11] 其實好像沒有
[084.11 -> 087.47] 但是隨著在高衛機一點點風吹草動
[087.47 -> 089.67] 大家就一起往下跌
[089.67 -> 091.11] 我們要如何判斷
[091.11 -> 092.87] 什麼時候是好的加馬點
[092.87 -> 094.87] 什麼產業就算你有微套
[094.87 -> 096.31] 也不要太擔心
[096.31 -> 100.31] 什麼東西要立刻出場把你的錢換回來
[100.31 -> 103.51] 今天的來賓有非常完整的交戰手折
[103.51 -> 104.75] 一定要好好聽起來
[104.75 -> 107.15] 歡迎他們第一位是可以限制身
[107.15 -> 109.15] 主角好主角老師
[109.15 -> 111.03] 看到主角老師就會大喊
[111.03 -> 112.63] 主角老師就救我
[112.63 -> 113.99] 現在的犯怎麼了
[113.99 -> 115.79] 但主角老師還是很淡定的時候
[115.79 -> 117.51] 以淡犯的形態來說
[117.51 -> 120.11] 確實可能要休息整理一下
[120.11 -> 122.67] 但多頭的形態還是一句話
[122.67 -> 124.67] 沒有改變
[124.67 -> 126.03] 沒有改變的情況下
[126.03 -> 128.95] 大家要記得從前一陣子到現在
[128.95 -> 131.11] 我們提醒過的不管是美國
[131.11 -> 133.51] 韓國我們都有提到的件事情
[133.51 -> 134.83] 就是融資太高了
[134.83 -> 135.95] 符爾太多了
[135.95 -> 137.95] 大家都在洗鋼幹
[137.95 -> 140.43] 現在如果進入到一個清洗的階段
[140.43 -> 142.11] 正當是難免的
[142.11 -> 143.63] 要先做好心理準備
[143.63 -> 145.31] 在多頭不變的情況下
[145.31 -> 148.19] 主角老師今天又有經具要來交大家
[148.19 -> 150.11] 其中有一個事情非常重要
[150.11 -> 151.51] 就是不要讓大家在這種
[151.51 -> 152.91] 來回正當的時候
[152.91 -> 155.35] 自己越套勞越深
[155.35 -> 157.07] 千萬不要被套勞
[157.07 -> 159.11] 如果還是想要經常是水溫
[159.11 -> 160.59] 因為現在沒有大部隊
[160.59 -> 163.39] 最好去找第一架的好心態
[163.39 -> 164.67] 您花的錢不多
[164.67 -> 166.23] 但是依舊保持到
[166.23 -> 168.15] 旁感依舊能賺錢
[168.15 -> 169.63] 等一下主角老師要來交大家
[169.63 -> 171.39] 如何分辨手上的股票
[171.39 -> 172.79] 有哪一些該流
[172.79 -> 175.95] 哪一些其實真的不要被套在裡面
[175.95 -> 177.15] 第二位是產業
[177.15 -> 179.23] 趨勢專家王健文王波
[179.23 -> 182.59] 看到王波也是王婆快來送暖
[182.59 -> 183.79] 王婆會說
[183.79 -> 184.35] 沒有辦法
[184.35 -> 185.63] 現在國際市場確實
[185.63 -> 186.91] 垂起了一股房域風
[186.91 -> 189.07] 就算美國一樣跑到哪裡呢
[189.07 -> 190.03] 跑到升跡了
[190.03 -> 191.87] 跑到醫療了 跑到金融
[191.87 -> 193.31] 在這樣防禦的情況下
[193.31 -> 195.39] 倒是有一些好消息可以留意
[195.39 -> 197.31] 之前在假護病房的CPU
[197.31 -> 198.75] 這兩天怎麼樣
[198.75 -> 200.83] 有人已經陸陸續續地出來了
[200.83 -> 202.83] 連亞連軍溜雲收創新高
[202.83 -> 205.07] 今天連亞率先長停半
[205.07 -> 207.07] 這些第一位接轉強的
[207.07 -> 209.87] 真的買起來似乎比較不用害怕
[209.87 -> 211.63] 再來的話大魔野送暖
[211.63 -> 214.03] COPO達說可能要很後面採量產
[214.03 -> 216.19] 現在說量產可能提前
[216.19 -> 218.11] 新技術能夠量產提前
[218.11 -> 220.11] 也會是我們台股的強行爭
[220.11 -> 222.35] 等一下聽王波為為到來了
[222.35 -> 225.95] 第三位是冠軍草牌手雲翔哥
[225.95 -> 228.03] 雲翔哥說最近的量能不足
[228.03 -> 230.83] 是他覺得一個比較大的問題
[230.83 -> 233.71] 所以他確實有在破月線的時候
[233.71 -> 234.99] 進行減碼
[234.99 -> 237.15] 他爆了好久一段時間的
[237.15 -> 239.15] 被動員減也要提醒大家
[239.15 -> 240.75] 不要把國具破千元
[240.75 -> 243.15] 立刻當作要去接的理物
[243.15 -> 246.59] 被動後面還有但是現在要來檢驗一下
[246.59 -> 248.67] 可能有些做護力了解
[248.67 -> 251.07] 把錢換回來會比較好
[251.07 -> 252.35] 換回來到哪裡呢
[252.35 -> 253.47] 他說像現在
[253.47 -> 254.83] 今天排面比較明顯的
[254.83 -> 257.07] BPU為接其實不高
[257.07 -> 258.99] 剛剛講國際資金在逼風到
[258.99 -> 260.59] 升級台股也一樣
[260.59 -> 262.51] 要還要一直在右上角
[262.51 -> 263.79] 所以升級股裡面
[263.79 -> 265.31] EPS高的今天影響
[265.31 -> 266.83] 跟有幫我們挑出來了
[266.83 -> 268.27] 好首先有請主老師
[268.27 -> 268.99] 你好
[268.99 -> 270.11] 主老師就命
[270.11 -> 271.47] 好
[271.47 -> 273.23] 每個人看到主老師主老師就命
[273.23 -> 275.31] 其實今天台韓股都有拉尾盤
[275.31 -> 277.07] 所以今天台股是守紅的
[277.07 -> 279.39] 可是其實類股裡面的表現
[279.39 -> 281.23] 很多人提感是很差
[281.23 -> 283.47] 接下來有非常多的重量級法說
[283.47 -> 285.47] 能不能稱要你覺得
[285.47 -> 286.91] 有一個很大的關鍵字
[286.91 -> 288.35] 絕對不套
[288.35 -> 289.55] 對
[289.55 -> 291.15] 好我們先看一下我們的大盤
[291.87 -> 293.15] 上禮拜我有講了
[293.15 -> 294.91] 我們大盤這邊是壓力
[294.91 -> 296.27] 這邊是支撐
[296.27 -> 300.59] 那前天就已經進到了盤盛
[300.59 -> 302.27] 因為它的高點沒有過
[302.27 -> 302.59] 對
[302.59 -> 305.39] 所以短時間會在這個區間裡面
[305.39 -> 306.59] 會來回的盡量
[306.59 -> 308.59] 所以會覺得大盤在盤中
[308.59 -> 310.99] 也是挖上起下衝
[310.99 -> 311.55] 對
[311.55 -> 312.99] 而且服度很大
[312.99 -> 313.95] 那這個大盤我之後
[313.95 -> 316.27] 大家到目前為止還是一樣
[316.27 -> 318.03] 並沒有出現那個
[318.03 -> 319.39] 崩盤的現象
[319.39 -> 321.95] 所以這個長多了整理
[321.95 -> 324.43] 這個叫量性的換手
[324.43 -> 325.63] 量性換手
[325.63 -> 327.07] 然後整理完以後
[327.07 -> 329.63] 再去供我們的4.8.8
[329.63 -> 330.67] 所以這個期外
[330.67 -> 331.87] 大陸我們最重要
[331.87 -> 334.67] 就是下面454不要跌破
[334.67 -> 335.31] 因為跌破
[335.31 -> 337.31] 會變成一個短線的空頭
[337.31 -> 339.15] 但是還滿近的業後
[339.15 -> 339.71] 對
[339.71 -> 340.91] 但是你沒有看嗎
[340.91 -> 342.35] 昨天一跌破略現金
[342.35 -> 343.47] 盤就辣
[343.47 -> 345.31] 就是說盤中有疊就有辣
[345.31 -> 346.83] 就是我們這邊還是有很
[346.83 -> 348.75] 還是有一些支撐的力道
[348.75 -> 351.31] 所以這個大盤目前
[351.31 -> 352.51] 就是一個向索
[352.51 -> 354.11] 就是一個很盤整理
[354.11 -> 355.95] 那我們去看周線也很清楚
[355.95 -> 357.79] 我們這周線在高檔
[357.79 -> 360.99] 黑紅黑紅黑
[360.99 -> 361.39] 是
[361.39 -> 363.47] 那就表示這個一個禮拜長
[363.47 -> 364.67] 也以外跌一個禮拜長
[364.67 -> 365.39] 越來越來越跌
[365.39 -> 368.35] 所以這邊也是一個很盤的整理
[368.35 -> 369.55] 當今天你拜三
[369.55 -> 371.31] 還沒有結束
[371.31 -> 373.55] 但重點還是4.8.8
[373.55 -> 375.15] 這個高點因為有大量
[375.15 -> 376.99] 所以這幫的壓力比較重
[376.99 -> 380.27] 短線也是因為量不後面兩週的
[380.27 -> 381.39] 量都說
[381.39 -> 385.63] 所以要馬上過這個4.8.8是有點困難
[385.63 -> 386.83] 但是整理完了
[386.83 -> 388.11] 如果放量的話
[388.11 -> 390.03] 但還是會攻這個
[390.03 -> 391.23] 那我在這邊也說一下
[391.23 -> 392.59] 因為我們是在盤整
[392.59 -> 394.51] 其實盤整的都量說是好的
[394.51 -> 396.75] 最好盤整裡面不要放大量
[396.75 -> 397.95] 因為盤整沒有放大量
[397.95 -> 399.39] 萬一疊破就照顧
[399.39 -> 400.59] 就變個頭了
[400.59 -> 402.59] 那個頭部的量就出來了
[402.59 -> 403.87] 那如果在盤整的時候
[403.87 -> 406.19] 一般的正常多頭盤整
[406.19 -> 407.47] 都是量說
[407.47 -> 408.99] 量會說在裡面
[408.99 -> 410.35] 那這樣子放量
[410.35 -> 411.63] 它就可以攻上去
[411.63 -> 413.23] 所以現在這量說
[413.23 -> 415.47] 大家我不用太過彈行
[415.47 -> 417.31] 只不過它這個動人
[417.31 -> 419.95] 沒有那麼厲害要去攻這個歷史高點
[419.95 -> 421.63] 所以在這裡整理一下
[421.63 -> 422.67] 需要點耐性
[422.67 -> 423.15] 對不對
[423.15 -> 424.51] 也需要洗一些服務
[424.51 -> 425.39] 對
[425.39 -> 428.59] 只要是大盤過高或者各國過高
[428.59 -> 429.63] 操作的建議
[429.63 -> 431.23] 我都一直告訴大家
[431.23 -> 432.83] 要剪你的常衛
[432.83 -> 434.19] 就剪馬
[434.19 -> 436.75] 你的資金目前不要超過五成
[436.75 -> 439.23] 然後一樣盡量不要去追高
[439.23 -> 440.03] 不用追
[440.03 -> 441.79] 有高點你就賣一下
[441.79 -> 443.79] 然後有低點再剪回來
[443.79 -> 445.71] 轉線的價差操作
[445.71 -> 447.79] 還是要把風險控制
[447.79 -> 448.99] 不一免被套勞
[448.99 -> 450.83] 就剛剛講你資金有大
[450.83 -> 452.03] 那如果被套勞
[452.03 -> 454.67] 你損失的金額就會比較大
[454.67 -> 455.95] 那資金的避險
[455.95 -> 457.71] 還有低價的多頭骨
[457.71 -> 459.15] 我們可以
[459.15 -> 462.27] 短時間可以調整一部分資金
[462.27 -> 464.03] 去做
[464.03 -> 464.99] 挑幾法書中
[464.99 -> 466.03] 我們台灣的
[466.03 -> 467.71] 大力光哪有個台積電
[467.71 -> 467.87] 對
[467.87 -> 470.67] 剛好就在明天從明天開始
[470.67 -> 474.59] 一直到最重棒的就台積電
[474.59 -> 476.19] 我覺得大家都在等到
[476.19 -> 477.07] 這個
[477.07 -> 478.59] 但是這些法說會
[478.59 -> 480.19] 我們當然要去關注一下
[480.19 -> 483.79] 但是最重要還是要看他目前的走勢
[483.79 -> 484.75] 是
[484.75 -> 486.19] 別說大廉光
[486.19 -> 486.75] 好
[486.75 -> 488.59] 這個五千山已經很厲害了
[488.59 -> 491.15] 它從一千多一直拉到五千多
[491.15 -> 493.39] 快要恢復到他的歷史後天
[493.39 -> 495.07] 六千我們那時候又選到
[495.07 -> 497.87] 但是這一次的回黨的回得比較深
[497.87 -> 500.19] 它形成一個短空
[500.19 -> 501.63] 還疊破岳線
[501.63 -> 504.43] 而且幾乎要回到前面這個低一點
[504.43 -> 505.63] 那這也是我們講
[505.63 -> 507.87] 儘快這一波長得太奇了
[507.87 -> 509.23] 連續就這樣拉
[509.23 -> 511.15] 所以他會回來整理
[511.15 -> 512.59] 那到目前為止
[512.59 -> 514.59] 就看一下明天的法說會
[514.59 -> 516.83] 他後勢的走法如何
[516.83 -> 519.39] 但是如果你是空手的
[519.39 -> 520.83] 那就要小心一遍
[520.83 -> 522.19] 他現在就空頭
[522.19 -> 523.39] 他現在是空頭
[523.39 -> 524.35] 空手會好像見
[524.35 -> 525.15] 對
[525.15 -> 527.79] 空頭見了就要準備再疊
[527.79 -> 528.99] 因為什麼叫空頭
[528.99 -> 530.03] 就是繼續疊嗎
[530.03 -> 531.47] 他就空頭
[531.47 -> 532.67] 那有反彈的話
[532.67 -> 534.59] 就是你手上買在高點
[534.59 -> 536.19] 那趁的法說會
[536.19 -> 537.15] 如果有利多
[537.15 -> 539.15] 大概都會做一些反應
[539.15 -> 540.67] 當然反應上來
[540.67 -> 542.67] 如果不長就趕快離開
[542.67 -> 546.27] 就是說至少不要先不要陪那麼多
[546.27 -> 547.79] 然後基底的南亞科
[547.79 -> 548.43] 好 南亞科
[548.43 -> 549.63] 所以是很漂亮
[549.63 -> 552.03] 南亞科也是類似這種情形
[552.03 -> 554.27] 他基本面什麼都沒有改變
[554.27 -> 556.11] 但是他的技術面改變
[556.11 -> 558.75] 所以他技術面也是一個短線空頭
[558.75 -> 559.63] 一樣的
[559.63 -> 561.87] 因為這有個實質線站上舞距
[561.87 -> 563.63] 所以這有個頭頭低
[563.63 -> 565.15] 也是疊破月線
[565.15 -> 567.39] 那有的人就稍微耐心一點
[567.39 -> 569.07] 因為他還是有基本面
[569.07 -> 570.43] 加上法說
[570.43 -> 572.43] 那可能會這邊反應一段
[572.43 -> 573.23] 那反應一段
[573.23 -> 576.19] 如果有解套或者小培的話
[576.19 -> 577.63] 你就先離開
[577.63 -> 578.59] 那台積電
[578.59 -> 581.23] 其實是三個屠行裡面最好的
[581.23 -> 582.27] 他其實最像是
[582.27 -> 584.51] 在因此中小行故就很辛苦
[584.51 -> 585.47] 對 它最強
[585.47 -> 587.07] 它在越線上
[587.07 -> 589.31] 而且離歷史高點也很近
[589.31 -> 591.31] 那它是一個盤子的格局
[591.31 -> 592.99] 因為這裡有三個小頭
[592.99 -> 594.11] 三個小頭了
[594.11 -> 595.55] 沒有過二五、三五
[595.55 -> 597.07] 對 但非常接近
[597.07 -> 599.39] 所以如果法則會的加持
[599.39 -> 601.23] 它能夠往上
[601.23 -> 604.19] 那很容易就會突破下降
[604.19 -> 605.55] 那如果突破下降
[605.55 -> 607.55] 下降 它就會創歷史高點
[607.55 -> 608.83] 如果它創歷史高點
[608.83 -> 611.63] 台股就不至於會大地
[611.63 -> 614.59] 因為它還是指數比較
[614.59 -> 616.91] 今天也是
[616.91 -> 618.83] 造盤它都沒有長
[618.83 -> 620.59] 所以我會盤拉上來
[620.59 -> 622.83] 所以指數還變成紅的
[622.83 -> 624.11] 所以它如果拉上來
[624.11 -> 626.91] 我們的大盤當然還會繼續的功
[626.91 -> 627.55] 繼續功
[627.55 -> 628.83] 剛剛我們開場有講
[628.83 -> 630.43] 這段時間最切記
[630.43 -> 632.11] 一件事不要再盤整
[632.11 -> 633.15] 像像正的時候
[633.15 -> 634.43] 讓自己被創作
[634.43 -> 635.87] 對 它套老
[635.87 -> 639.95] 都是很難解決的一件事
[639.95 -> 642.19] 那最好一開始就不要被套
[642.19 -> 643.79] 那唯一的方法當然
[643.79 -> 645.39] 就自己是好風險
[645.39 -> 646.75] 是好的停水
[646.75 -> 648.19] 所以就先離開
[648.19 -> 649.39] 一般來說
[649.39 -> 652.19] 如果你是用情緒來超盤的
[652.19 -> 653.39] 在聰明的人
[653.39 -> 655.07] 你也會不知所錯
[655.07 -> 655.79] 我們台灣很主要是
[655.79 -> 657.71] 就是盤頭一看他大長
[657.71 -> 658.91] 怎麼又有跌了
[658.91 -> 660.03] 都不知道怎麼辦
[660.03 -> 660.83] 到底要買
[660.83 -> 662.11] 就不要買
[662.11 -> 664.27] 所以我們用紀律操作的話
[664.27 -> 667.95] 即使我們一般的平平擁用的散戶
[667.95 -> 669.71] 你一樣可以按穩的獲利
[669.71 -> 670.99] 所以紀律當然
[670.99 -> 672.67] 就是你自己要能夠
[672.67 -> 674.99] 手你自己操作的方法
[674.99 -> 677.39] 你有了經驗就寫幾條
[677.39 -> 678.75] 我大概什麼原則
[678.75 -> 680.43] 我大概要做什麼股票
[680.43 -> 682.35] 或者什麼樣的股票才做
[682.35 -> 684.59] 你不熟悉的人就不要做
[684.59 -> 687.39] 那這個都是你自己個人的紀律
[687.39 -> 688.91] 那你寫下來以後
[688.91 -> 690.27] 你的心定下來
[690.27 -> 692.27] 就不會用情緒超盤
[692.27 -> 694.11] 所以大部分來講
[694.11 -> 695.71] 超盤吃敗的人
[695.71 -> 697.55] 大概都是太過情緒的話
[697.55 -> 697.79] 是
[697.79 -> 699.47] 好的話就建追不好的話
[699.47 -> 701.47] 就爆了不願意買
[701.47 -> 702.75] 就很容易吃敗
[702.75 -> 706.51] 所以我還是希望大家建立一套自己的紀律
[706.51 -> 708.11] 當然紀律不是通用
[708.11 -> 710.83] 不是也許適合他不太適合你
[710.83 -> 713.47] 但是你可以做你自己的紀律
[713.47 -> 714.59] 做一個修正
[714.59 -> 716.99] 好 那我們這邊就來建診一下好不好
[716.99 -> 717.71] 在敗
[717.71 -> 719.31] 因為這幾天在辦的
[719.31 -> 720.67] 軌固是不要多一點
[720.67 -> 722.11] 因為這段長很兇
[722.11 -> 724.67] 對 聽請說從這個600找到9百多
[724.67 -> 727.07] 所以很多人就覺得追一定占
[727.07 -> 728.43] 就這段就跌很兇
[728.43 -> 729.47] 心心一樣的道理
[729.47 -> 730.67] 都很兵允
[730.67 -> 732.11] 所以他們到了可以接著
[732.11 -> 733.07] 時候了嗎
[733.07 -> 734.59] 還是在哪裡就應該做出
[734.59 -> 736.43] 這兩黨都是簽緣
[736.43 -> 737.79] 大概簽緣附近
[737.79 -> 739.31] 最近有個變革
[739.31 -> 740.67] 12月7號
[740.67 -> 741.79] 我們的靈谷
[741.79 -> 742.99] 其實以前到9點開
[742.99 -> 743.47] 好
[743.47 -> 744.83] 對其樂是9點
[744.83 -> 746.75] 學校這樣也比較統一
[746.75 -> 748.19] 不然做靈谷的望
[748.19 -> 750.27] 還要記憶另外一個時間
[750.43 -> 752.51] 對 這個我覺得很好
[752.51 -> 752.75] 好
[752.75 -> 754.51] 再來了簽經谷
[754.51 -> 756.91] 這個跳舞快變跳一段
[756.91 -> 757.79] 對
[757.79 -> 759.31] 那還有美無秒的
[759.31 -> 760.67] 綽合變成一秒
[760.67 -> 761.63] 這是靈谷
[761.63 -> 762.99] 現在谷還是5塊
[762.99 -> 764.67] 靈谷對 現果沒有改
[764.67 -> 765.47] 靈谷
[765.47 -> 768.27] 那這也是為了照顧小資主
[768.27 -> 769.79] 因為簽經
[769.79 -> 770.99] 谷票小資主
[770.99 -> 772.99] 沒辦法就去買靈谷
[772.99 -> 774.67] 但是交易有不方便
[774.67 -> 777.07] 那現在來改得比較方便
[777.07 -> 778.27] 那這兩兩組票
[778.27 -> 781.31] 其實在技術面完全不一樣
[781.31 -> 782.35] 這個跌一段
[782.35 -> 784.59] 是因為正義長了一段
[784.59 -> 785.79] 這個長了一段
[785.79 -> 787.47] 所以也是跌一段
[787.47 -> 788.27] 一模一樣的
[788.27 -> 789.87] 所以這也跌一段
[789.87 -> 791.15] 那這個也是跌一段
[791.15 -> 793.07] 那今天已經指住了
[793.07 -> 794.51] 它沒有再跌了
[794.51 -> 795.23] 換句話講
[795.23 -> 797.47] 這是一個多頭回後
[797.47 -> 798.51] 等上漲
[798.51 -> 799.55] 因為還沒有上漲
[799.55 -> 800.51] 還沒有上午件
[800.51 -> 803.47] 所以這個是一個所谷等上漲的不票
[803.47 -> 805.07] 但這個不一樣
[805.07 -> 807.31] 這個高點在這
[807.79 -> 808.91] 這個高點在這
[808.91 -> 810.75] 所以這是投樓的
[810.75 -> 812.03] 這個是最高點
[812.03 -> 813.47] 它沒有第二個高點
[813.47 -> 814.27] 請說這一個高點
[814.27 -> 815.23] 對
[815.23 -> 816.67] 所以基本上它是一個
[816.67 -> 817.95] 大的區域來看
[817.95 -> 819.07] 它是一個盤子
[819.07 -> 820.75] 它在這裏做一個盤子
[820.75 -> 821.87] 所以這支股票
[821.87 -> 824.83] 是最好暫時的比開
[824.83 -> 825.23] 是
[825.23 -> 826.51] 你可以做它標準的
[826.51 -> 827.31] 做進說
[827.31 -> 827.47] 對
[827.47 -> 829.39] 因為這個跌破就很麻煩
[829.39 -> 830.35] 這一跌破就是
[830.35 -> 831.55] 大家就很清楚
[831.55 -> 832.51] 麻煩說
[832.51 -> 834.91] 這是一個很標準的麥當勞的頭
[835.63 -> 837.47] 一跌破就是一個麥當勞的頭
[837.47 -> 839.55] 而且這還一個超級大量
[839.55 -> 840.91] 所以這張的
[840.91 -> 843.95] 暫時大家就擺在邊上看
[843.95 -> 847.31] 這個是可以等它回後買上漲
[847.31 -> 849.71] 剛剛講幾乎都是熱門足夠的
[849.71 -> 851.31] 進入到比較中低價值
[851.31 -> 855.31] 中低價股其實也是我們最近比較
[855.31 -> 856.91] 比較熱門的類似
[856.91 -> 857.95] 包括實力的
[857.95 -> 858.83] 比較好跌
[858.83 -> 860.91] 還有軍工 還有說話
[860.91 -> 861.63] 對
[861.63 -> 863.39] 這都是我們最近比較熱門
[863.39 -> 865.39] 而且價位又很低
[865.39 -> 866.83] 所以在這裡面當然
[866.83 -> 867.87] 只要它是一個
[867.87 -> 870.35] 這個幾乎全部都躲頭
[870.35 -> 872.35] 今天列出來的這些搭給餐廳
[872.35 -> 873.63] 看全部都躲頭
[873.63 -> 875.31] 就是有得要等上漲
[875.31 -> 876.83] 還有得要等它回來了
[876.83 -> 878.59] 不要去追高
[878.59 -> 880.51] 那這樣子你檢視一下
[880.51 -> 881.63] 你覺得
[881.63 -> 884.59] 軍工現在比較有一些體材
[884.59 -> 886.51] 因為國防預算
[886.51 -> 888.67] 而且應該慢慢都會過了
[888.67 -> 889.07] 是
[889.07 -> 892.19] 這個可能有利多
[892.19 -> 895.39] 那至於說話話都屬於低價
[895.39 -> 896.79] 而且在低價
[896.79 -> 897.31] 低轉槍
[897.31 -> 900.03] 所以這個都可以去追蹤一下
[900.03 -> 901.15] 實際運見新華
[901.15 -> 901.95] 我這又上漲
[901.95 -> 903.07] 因為新高貴
[903.07 -> 906.43] 因為實際運見已經這個列國已經漲了一陣子
[906.43 -> 909.47] 已經發酵了一陣子
[909.47 -> 910.91] 但是各位也看昨天
[910.91 -> 912.67] 大跌今天又不停
[912.67 -> 915.15] 所以這也是一個回後買上漲
[915.15 -> 917.39] 都跟這個一樣回來了又上漲
[917.39 -> 918.99] 回來了又上漲
[918.99 -> 920.91] 所以表示目前它的貫性
[920.91 -> 921.87] 還沒有改變
[921.87 -> 923.95] 強勢的多頭的貫性
[923.95 -> 925.31] 還沒有改變
[925.31 -> 926.27] 那這也是一樣
[926.27 -> 927.31] 它也是一隻多好
[927.31 -> 928.51] 新運見的升級
[928.51 -> 930.51] 它也是回黨今天不跌
[930.51 -> 931.87] 那今天不跌
[931.87 -> 933.63] 就看明天有沒有機會
[933.63 -> 935.71] 再繼續往上
[935.71 -> 937.23] 那這種小心骨
[937.23 -> 939.63] 然後技術面有很好
[939.63 -> 941.15] 而且也有體材的
[941.15 -> 943.55] 大家不妨去追蹤一下
[943.55 -> 943.79] 好
[943.79 -> 944.83] 哪有算強的
[944.83 -> 945.79] 所以數畫裡面
[945.79 -> 948.59] 南亞這前面整理過一段時間
[948.59 -> 949.79] 然後突然就拉了
[949.79 -> 951.07] 快到兩百
[951.07 -> 952.91] 可是還是很強
[952.91 -> 954.43] 因為它只跌一天
[954.43 -> 955.95] 今天又不跌了
[955.95 -> 958.99] 然後一樣這也是指跌的訓練
[958.99 -> 960.35] 但是還沒有賺上
[960.35 -> 962.83] 所以大家也可以所一下
[962.83 -> 964.67] 那這也是從這個疫情
[964.67 -> 965.63] 這是軍工的
[965.63 -> 968.03] 軍工就是這一兩里敗
[968.03 -> 968.67] 在反應
[968.67 -> 969.79] 主要是這還能追嗎
[969.79 -> 972.27] 因為它一發動就突然
[972.27 -> 973.47] 四五跟上去
[973.47 -> 975.47] 因為它這個底才80%
[975.47 -> 977.71] 你現在才一百四
[977.71 -> 978.71] 才一百四
[978.71 -> 979.71] 對啊
[979.71 -> 980.79] 換句話說
[980.79 -> 982.43] 它前面都是跌
[982.43 -> 983.71] 所以要知道很多股票
[983.71 -> 984.95] 前面跌很深
[984.95 -> 987.23] 但是如果它這一波轉強
[987.23 -> 989.95] 就表示後面還有第二波第三波
[989.95 -> 991.71] 又這是第一波
[991.71 -> 993.55] 如果抓到第一波的強勢
[993.55 -> 996.51] 你去所後面做到的機會比較高
[996.51 -> 997.47] 那否則的話
[997.47 -> 999.79] 你一回頭看都長兩三倍了
[999.79 -> 1001.47] 你又不敢買了
[1001.47 -> 1003.15] 所以這個不算是高價
[1003.15 -> 1005.71] 這個才算是底部剛剛完成
[1005.71 -> 1007.79] 它越線還沒有穿過既線
[1007.79 -> 1009.79] 還沒有事件多
[1009.79 -> 1011.79] 它也是今天只跌
[1011.79 -> 1014.11] 所以大家可以去追蹤一下
[1014.11 -> 1016.51] 當然一四八這邊的壓力比較重
[1016.51 -> 1018.35] 看明後天有沒有辦法過
[1018.35 -> 1020.67] 不過的話還是可以所
[1020.67 -> 1022.67] 它可能這一波拉太極了
[1022.67 -> 1025.95] 整理完再工也是一個很好的位置
[1025.95 -> 1028.51] 大家都可以去追蹤一下
[1028.51 -> 1031.15] 等於是從以前到現在一起劣
[1031.15 -> 1032.59] 主要是都會覺得正當盤中
[1032.59 -> 1033.87] 發現有很多的地價股
[1033.87 -> 1035.87] 就在大盤比較弱的時候
[1035.87 -> 1037.07] 它相較之下
