---
source_url: https://www.youtube.com/watch?v=kMQpMKFxXkM
source_kind: youtube-transcript
ingested: 2026-07-13
sha256: 486e09adfa58d0a51770b74a6a7b945fe159881e71f104d5744b6bca7134459a
model: faster-whisper / Systran-faster-whisper-tiny / int8
language: zh
duration_seconds: 2918.784000
quality: medium
---

[原始檔案位置: ~/ob_repos/yt-podcast-pipeline/transcripts/kMQpMKFxXkM_fw.txt]

注意:
- 來源: 「理財達人秀 EBCmoneyshow」頻道
[061.55 -> 063.95] 所以我們今天開盤雖然不錯
[063.95 -> 066.75] 後面就慢慢 慢慢 慢慢殺下去了
[066.75 -> 068.79] 哇 我們看到被動員見的龍頭
[068.79 -> 071.71] 國劇華新科都是打到跌停板
[071.71 -> 074.19] 環球機信技門榮頭打到跌停板
[074.19 -> 077.87] 今天有非常多的公司打到跌停板
[077.87 -> 079.07] 到底是恐慌呢
[079.07 -> 081.79] 還是應該要趁第一來想想看
[081.79 -> 083.59] 6月營收錄續出爐了
[083.59 -> 086.27] 有哪一些的公司叫做被撤殺
[086.27 -> 089.11] 這需要很大的信心剛好今天的來賓
[089.11 -> 091.15] 都可以送信心給大家
[091.15 -> 093.47] 來歡迎他們第一位是AI大林
[093.47 -> 095.47] 他們明案明案哥
[095.47 -> 098.51] 好 看到明案信心的來源來了
[098.51 -> 100.35] 他說不要緊張
[100.35 -> 104.11] 不要怕基本面真的沒有任何的改變
[104.11 -> 105.47] 但是也要提醒大家
[105.47 -> 107.79] 確實很多的股票在這一步的上漲
[107.79 -> 109.63] 不管您的營收如何
[109.63 -> 111.67] 不管狀況如何成漲性如何
[111.67 -> 113.31] 都是一直噴一支噴
[113.31 -> 115.23] 網友上角的這個習性
[115.23 -> 118.75] 可能會讓觀眾朋友有點錯估情事
[118.75 -> 120.87] 所以趁著今天非常多的大型股
[120.87 -> 122.99] 殺下來不妨來檢驗一下
[122.99 -> 125.59] 6月營收已經在陸續出爐了
[125.59 -> 128.03] 有的創高有的是您月雙爭
[128.03 -> 130.11] 在好的公司裡面來看
[130.11 -> 132.75] 別下來絕對是您優先可以不絕的
[132.75 -> 135.39] 還有裡面的重災去叫做災扮
[135.39 -> 137.19] 災扮短短三個焦慾
[137.19 -> 140.43] 有人已經跌到25個百分點了
[140.43 -> 142.99] 明案哥說他們的成長信心是很好的
[142.99 -> 144.03] 別下來的災扮
[144.03 -> 147.23] 幫您建政是不是一個好時機
[147.23 -> 149.03] 第二位是我們的股期
[149.03 -> 152.11] 雙分期是紀委名小明同學
[152.11 -> 154.91] 好想明同學也要講到底今天在碟
[154.91 -> 158.59] 碟有可能很多我們一條一條來拆解
[158.59 -> 162.83] 不過我們來看裡面的重災區其中被動援剑
[162.83 -> 165.31] 不止大哥二哥碟聽
[165.31 -> 167.39] 小的股票也一併做碟聽
[167.39 -> 170.27] 已經碟到可能兩個禮拜前的一個期障碟
[170.27 -> 172.83] 國際跟手度的破裕線
[172.83 -> 175.87] 到底要怎樣對被動援剑能夠產生信心
[175.87 -> 179.31] 以及像股排一樣推到碟到細機圓
[179.31 -> 182.27] 接近明明前兩天還在創立史新高
[182.27 -> 184.19] 今天也是碟聽版
[184.19 -> 186.11] 等一下高森林產業的變化
[186.11 -> 188.11] 其實沒有改變
[188.11 -> 190.67] 所以小明同學覺得最有信心
[190.67 -> 192.91] 不怕買錯子怕買貴的
[192.91 -> 195.31] 在哪裡等一下分享給您了
[195.31 -> 199.71] 第三位是我們的當中波段雙刀流高線榮
[199.71 -> 203.07] 剛剛也有提到今天三星結束了第二季的激爆
[203.07 -> 205.31] 明明非常亮眼亮眼到不行
[205.31 -> 207.71] 到底為什麼三星會重挫呢
[207.71 -> 211.15] 我們的街體開盤本來也是紅的後面被拖累
[211.15 -> 213.23] 前面兩次激起大地的時候
[213.23 -> 215.63] 線榮告訴我們大戶沒有禮償
[215.63 -> 217.71] 這一次大戶的籌碼
[217.71 -> 219.15] 其實有點變化
[219.15 -> 220.99] 等一下一定要仔細聽起來
[220.99 -> 223.23] 倒是聯發科今天出席
[223.23 -> 226.43] 出席玩是有填席而且他有稍微稱著
[226.43 -> 227.79] 留一個像影線
[227.79 -> 230.35] 他帶動的IC設計族群
[230.35 -> 232.59] 是現在大戶的碟風港
[232.59 -> 234.19] 等一下來聽起來了
[234.19 -> 236.51] 好首先有請明漢哥
[236.51 -> 238.27] 幸好今天是找到你
[238.27 -> 240.67] 因為如果今天是大長1500點的話
[240.67 -> 242.75] 又覺得好像不太好講了
[242.75 -> 245.47] 可是因為今天開高沙滴
[245.47 -> 247.95] 沙道非常的低超過1000點
[247.95 -> 249.95] 你覺得性性沒有變
[249.95 -> 252.35] 只是要找6月0收好的
[252.35 -> 254.43] 以及真的被挫沙的股票
[254.43 -> 256.51] 其實今天盤式最主要
[256.51 -> 258.59] 沙盤的關鍵點還是在三星
[258.59 -> 260.59] 但個人覺得現在盤式真的還是
[260.59 -> 261.95] 是在正當而已
[261.95 -> 262.51] 正當而已
[262.51 -> 264.59] 對其實現在還沒有真正的開
[264.59 -> 267.39] 如果假設會跌現在真的還沒有開啟啟
[267.39 -> 269.55] 但是假設會跌是什麼
[269.55 -> 270.67] 對沒有我們擔心我們
[270.67 -> 271.87] 我們等一下會講會不會跌
[271.87 -> 272.91] 我們等一下會說
[272.91 -> 275.79] 最主要關鍵點就是因為三星的
[275.79 -> 277.87] 這個財報大幅優預期
[277.87 -> 279.31] 但是股價的一個部分
[279.31 -> 280.51] 呈現開啟
[280.51 -> 282.51] 應該這樣講我覺得這個是連續聚
[282.51 -> 283.95] 為什麼會有這樣的三星
[283.95 -> 284.91] 大家也在講說
[284.91 -> 286.67] 為什麼財報那麼好會跌
[286.67 -> 287.55] 我個人覺得很簡單
[287.55 -> 290.19] 因為其實美光已經
[290.19 -> 291.55] 演在前面
[291.55 -> 294.19] 對一個多禮拜前說得很好
[294.19 -> 295.63] 那發生什麼現象
[295.63 -> 297.31] 就隔天長超過一層
[297.31 -> 298.91] 不會問題那一天
[298.91 -> 301.55] 去追的人後面就一路逃了
[301.55 -> 303.07] 後續要怎樣變成是
[303.07 -> 304.83] 要先美股表態
[304.83 -> 306.19] 美國的科技類股
[306.19 -> 308.99] 比如說美光的部分能夠質問
[308.99 -> 311.71] 開始翻多那代表三星就會質問
[311.71 -> 314.59] 那韓國就會好就會感染到台灣來
[314.59 -> 315.87] 所以整個加過來
[315.87 -> 317.31] 講是相互感染的
[317.31 -> 319.15] 所以今天最近當然很多
[319.15 -> 322.03] 回顧是可我覺得要不斷重生
[322.03 -> 322.99] 聽聽就好
[322.99 -> 324.27] 如果真的有利空
[324.27 -> 327.23] 今天簡單而言開高走低
[327.23 -> 328.67] 代表只是美食
[328.67 -> 330.67] 因為有試就是不可能開高
[330.67 -> 332.35] 所以我們之前講過很多
[332.35 -> 334.51] 是韓國股市眾錯
[334.51 -> 336.19] 影響到日本影響到
[336.19 -> 337.07] 台灣
[337.07 -> 338.11] 所以老師講
[338.11 -> 339.39] 你看到這個數字
[339.39 -> 340.27] 就我的角度
[340.27 -> 340.83] 我覺得
[340.83 -> 342.67] 台股表是還是要刻起
[342.67 -> 344.19] 因為你要記得一件事
[344.19 -> 346.99] 日古今年的長福源不及台灣
[346.99 -> 349.55] 韓國市我們超過一倍以上的長福
[349.55 -> 350.75] 所以他跌降我們跌降
[350.75 -> 352.03] 看起來還是算合理
[352.03 -> 353.39] 日本長得還沒有
[353.39 -> 355.23] 多他跌升跟我們差不多
[355.23 -> 356.19] 當然我要講了
[356.19 -> 357.87] 台股今天有這樣成盤是
[357.87 -> 359.47] 因為台積電的關係
[359.47 -> 360.83] 台積電沒跌所以
[360.83 -> 362.03] 台股才跌兩個
[362.03 -> 363.15] 可是很代表是
[363.15 -> 365.79] 很多的各股都是亮燈的
[365.79 -> 367.47] 而且就平常心想
[367.47 -> 369.07] 今天這些亮燈比較
[369.07 -> 370.75] 主要的各股給我感受
[370.75 -> 372.35] 就是幾乎通沙
[372.35 -> 374.35] 就是不管你基本面好不好
[374.35 -> 375.71] 因為這裡面很多的各股
[375.71 -> 377.47] 其實基本面是很好的
[377.47 -> 379.47] 甚至都打到跌停
[379.47 -> 381.39] 所以簡單的言就是今天
[381.39 -> 383.07] 有沒有恐慌氣氛出現
[383.07 -> 384.35] 就我個人覺得還好
[384.35 -> 385.47] 沒有到這很恐慌
[385.47 -> 386.99] 但大家感受的不太好
[386.99 -> 387.71] 因為
[387.71 -> 389.79] 疊涼的和聖誕有很多的各股
[389.79 -> 390.75] 股息會都跌停
[390.75 -> 391.79] 所以壓力來講
[391.79 -> 393.71] 相對是比較成縱的
[393.71 -> 395.31] 但是回過頭
[395.31 -> 397.15] 我個人覺得韓國股市
[397.15 -> 399.15] 我覺得不用擔心
[399.15 -> 400.27] 因為我覺得韓國
[400.27 -> 401.87] 我是很看好韓國股市
[401.87 -> 403.15] 雖然大家講
[403.15 -> 404.67] 他們剛剛比我們嚴重
[404.67 -> 406.03] 他們借代比我們嚴重
[406.03 -> 407.23] 他們開戶數
[407.23 -> 408.91] 是每個人有兩個
[408.91 -> 409.71] 這個戶頭
[409.71 -> 410.83] 講得多嚴重
[410.83 -> 411.71] 但是沒有辦法
[411.71 -> 413.71] 因為目前的角度
[413.71 -> 415.47] 台灣跟韓國市
[415.47 -> 417.47] 這個增長最大的來源
[417.47 -> 419.39] 看到這張圖就可以知道
[419.39 -> 421.23] 這個是外資給的一個
[421.23 -> 423.23] 看法就是2016年
[423.23 -> 424.51] 所謂的EPS
[424.51 -> 427.07] 跟所謂股價的表現
[427.07 -> 428.35] 他越高代表
[428.35 -> 431.15] 他EPS成長幅度相對比較好
[431.15 -> 432.27] 你可以看到大部分
[432.27 -> 434.43] 其實都拒絕在這個位置
[434.43 -> 435.95] 台灣在這個位置
[435.95 -> 438.51] 代表是台灣的獲利EPS成長
[438.51 -> 440.03] 超過四成
[440.03 -> 442.35] 那今年以來的成長超過五成
[442.35 -> 443.23] 所以代表是
[443.23 -> 444.27] 台股的上漲
[444.27 -> 447.55] 其實是靠著獲利的成長所製成的
[447.55 -> 449.07] 韓國股市更誇張
[449.07 -> 450.35] 他根本誇不進這個圖
[450.35 -> 451.47] 他直接告訴你
[451.47 -> 452.99] 他今年長108
[452.99 -> 454.91] 他獲利成長370
[454.91 -> 455.95] 所以告訴你
[455.95 -> 457.15] 台灣跟韓國
[457.15 -> 458.75] 今年能掌這麼多完全
[458.75 -> 461.07] 是因為獲利的來源所製成
[461.07 -> 461.87] 不用緊張
[461.87 -> 464.19] 人家這個股價漲了
[464.19 -> 465.39] 108%
[465.39 -> 468.03] 但是獲利上漲了370%
[468.03 -> 468.99] 代表什麼意思
[468.99 -> 471.15] 就是他本意比不斷的往下走
[471.15 -> 473.39] 就是股價漲幅還原不幾獲利
[473.39 -> 474.99] 所以人家本意比超低
[474.99 -> 476.99] 所以你說韓國股市
[476.99 -> 478.83] 或三星有沒有可能今天
[478.83 -> 480.35] 因為裁報超好
[480.35 -> 482.19] 然後開高走低
[482.19 -> 483.15] 所以或者是說
[483.15 -> 484.51] 利多不漲代表著
[484.51 -> 486.59] 故事的結束絕對不可能
[486.59 -> 489.15] 至於台積電的部分當然
[489.15 -> 492.19] 今天能夠相對來講比較有成就
[492.19 -> 493.15] 我之前提到
[493.15 -> 494.75] 因為再把獸會前
[494.75 -> 497.31] 他的股價就有機會相對強制
[497.31 -> 500.11] 一直到打獸會的前一周
[500.11 -> 501.63] 等於說這個時間點可能
[501.63 -> 503.87] 有沒有辦法走到這個禮拜結束
[503.87 -> 505.39] 到下禮拜要把獸會前
[505.39 -> 507.87] 他就會呈現趨緩的現象
[507.87 -> 509.23] 外資的目標下
[509.23 -> 512.27] 現在基本上幾乎沒有地獄3千
[512.27 -> 513.79] 大家都3千以上
[513.79 -> 515.47] 所以股價的一個部分老實講
[515.47 -> 516.51] 也不是太貴
[516.51 -> 517.63] 可是我個人覺得
[517.63 -> 519.55] 我們不斷重生就是假設
[519.55 -> 521.79] 他今年1月1100塊
[521.79 -> 523.07] 年初的部分
[523.07 -> 524.19] 我剛剛提到為什麼
[524.19 -> 526.35] 我們今年的股價能夠上陽
[526.35 -> 528.59] 是因為靠著獲利的玉菇走身
[528.59 -> 530.83] 那其中台積電就是很重要的關鍵
[530.83 -> 534.03] 去年底的時候玉菇今年1月1715
[534.03 -> 536.03] 到現在已經來到一百塊
[536.03 -> 537.47] 而且也比較重要的關鍵點
[537.47 -> 540.03] 就是看到這個1月4月
[540.03 -> 542.27] 他都會有個曲線突然往上
[542.27 -> 543.55] 這個能夠大幅的走高
[543.55 -> 545.55] 就是靠著這法說優雲一起
[545.55 -> 547.63] 大家回來只好在修正
[547.63 -> 548.83] 這個1PS
[548.83 -> 550.19] 所以很有可能
[550.19 -> 554.11] 就是說這個7月中的法說會
[554.11 -> 556.51] 如果又又預期這個趨勢
[556.51 -> 557.95] 又會再走高
[557.95 -> 559.39] 那代表的整個
[559.39 -> 560.51] 我認識台積電
[560.51 -> 562.35] 或者是整個指數的部分
[562.35 -> 563.79] 都還有走高的機會
[563.79 -> 565.87] 其實我們上次來跟大家分享
[565.87 -> 567.55] 就是台股有一個特色
[567.55 -> 569.55] 就是最強的是在7月
[569.55 -> 571.39] 最弱的是在9月
[571.39 -> 573.39] 那剛好看到外資
[573.39 -> 574.91] 這兩天有出一個報告
[574.91 -> 576.99] 我發現剛好也配合
[576.99 -> 579.23] 美股的價構也是有點相近
[579.23 -> 581.47] 那時候講到台股第三季
[581.47 -> 582.83] 很容易開高走低
[582.83 -> 584.59] 走低絕對不是7月初
[584.59 -> 585.79] 就開始走低
[585.79 -> 587.07] 可以看到過去
[587.07 -> 589.79] 這個7月4長的8月還在高檔
[589.79 -> 591.95] 9月之後才開始有修正
[591.95 -> 593.47] 這是過往的經驗
[593.47 -> 596.27] 目前基本面都還是維持正向
[596.27 -> 598.03] 所以我覺得不用太過警張
[598.03 -> 599.31] 自數的一個部分
[599.31 -> 600.43] 稍有壓力
[600.43 -> 603.15] 今天回檔到這個月線
[603.15 -> 604.51] 但是你可以看到過去
[604.51 -> 606.67] 來到月線應該很快就有支撐
[606.67 -> 607.95] 可是我會覺得
[607.95 -> 610.67] 這個因為4.56月真的長得比較多
[610.67 -> 612.27] 這次是不是能夠
[612.27 -> 614.03] 來到月線就馬上直穩
[614.03 -> 615.71] 我老實講我也不敢說
[615.71 -> 617.79] 我覺得大家還要再看
[617.79 -> 618.75] 如果這麼樂觀
[618.75 -> 620.27] 其實就目前講
[620.27 -> 622.43] 都不管任何個股勤都不用檢查
[622.43 -> 623.71] 就直接加馬就好
[623.71 -> 626.51] 可是我覺得有一個比較重要關鍵點
[626.51 -> 627.47] 等一下會講到說
[627.47 -> 630.35] 畢竟還有可能會有這個所謂的
[630.35 -> 633.07] 修正來自於這個新產品的部分
[633.07 -> 634.43] 所以我覺得現在應該說
[634.43 -> 636.83] 大家手上的持股稍微
[636.83 -> 638.11] 就拿你一下
[638.11 -> 640.27] 你的各股到底有沒有數字
[640.27 -> 642.75] 我覺得是很重要的關鍵點
[642.75 -> 645.55] 上市過以整個總合是成長三成
[645.55 -> 648.11] 所以你的各股有沒有達到捐標
[648.11 -> 648.91] 你說
[648.91 -> 650.67] 就算沒有捐標不要差太多
[650.67 -> 652.59] 你兩成多我覺得可以接受
[652.59 -> 654.27] 最好是能夠高過三成
[654.27 -> 656.19] 代表的人就是有獲利數值
[656.19 -> 657.95] 那現在拉回是不用警張
[657.95 -> 659.63] 因為去世沒有反轉
[659.63 -> 662.43] 拉回整理之後都還會再創高
[662.43 -> 665.15] 但是沒有獲利數值的就
[665.15 -> 667.79] 稍微風險稍微高一點點
[667.79 -> 669.39] 因為他有一種可能性
[669.39 -> 671.79] 就是在政黨假設這次
[671.79 -> 673.23] 壓迴的幅度比較深
[673.23 -> 674.83] 來到記憲在反彈
[674.83 -> 677.47] 故事突然這個現行被破壞
[677.47 -> 679.79] 現在是在反彈過程當中
[679.79 -> 681.95] 大家就會突然不敢去買這個
[681.95 -> 683.07] 沒數字的
[683.07 -> 685.63] 我先來看還有另外一個市場穿文
[685.63 -> 686.67] 就是MV的機櫃
[686.67 -> 688.83] 到底有沒有研後的問題
[688.83 -> 690.75] 華人現在特地出來說沒有
[690.75 -> 693.39] 不過這個事情已經不是發生第一次了
[693.39 -> 696.11] 對 應該這樣講公司這次比較特別
[696.11 -> 698.11] 華人就有出來提到說
[698.11 -> 702.27] 整個產品的線路線途的部分
[702.27 -> 703.87] 沒有任何改變代表者
[703.87 -> 707.15] 就是說現在沒有出現抵類的現象
[707.15 -> 710.35] 但我個人覺得未來有抵類的機率
[710.35 -> 712.03] 真的不算很低
[712.03 -> 713.87] 這個這時候我覺得是合理的
[713.87 -> 715.47] 這是簡單來講沒兩年
[715.47 -> 716.83] 他會有個世代轉變
[716.83 -> 719.07] 這是上次2024年
[719.07 -> 720.27] 等於是兩年前
[720.27 -> 722.59] 那時候不會有在年初發表
[722.75 -> 725.15] 所以我就講到下半年會出來
[725.15 -> 727.31] 等到下半年這是大概8月的時候
[727.31 -> 730.35] 大家就發現他其實有出現嚴候的狀況
[730.35 -> 731.71] 所以出現下跌
[731.71 -> 734.59] 後來等於完了接近半年黃英雄
[734.59 -> 737.79] 正式說到Brigo有開始大量生產了
[737.79 -> 740.19] 結果沒想到本來要上娘就遇到剛好
[740.19 -> 741.15] 對人關稅
[741.15 -> 742.27] 所以又壓下去
[742.27 -> 744.99] 沒關係 等到對關關稅一沒有了之後
[744.99 -> 746.99] 就會發現整個價格
[746.99 -> 748.99] 他其實是不斷走高
[748.99 -> 751.31] 只是中間有很多的分分繞
[751.31 -> 753.47] 可是你可以看到這個台積鍊的營收
[753.47 -> 756.19] 2024年的89時在這裡
[756.19 -> 758.27] 其實他營收並沒有往下掉
[758.27 -> 761.15] 所以營後產出並不會影響到
[761.15 -> 762.59] 大家的產能狀況
[762.59 -> 764.19] 原因心產明出來
[764.19 -> 766.59] 大家會繼續買舊的產品
[766.59 -> 768.75] 所以大家會發現一個現象
[768.75 -> 770.59] 就是基本面數字還是沒改
[770.59 -> 772.67] 但是補價沒辦法反應
[772.67 -> 773.79] 那我會覺得
[773.79 -> 776.03] 大家要做了事情是在這段
[776.03 -> 777.87] 很像的時間點你要趕快
[777.87 -> 779.71] 你會發現數字沒有變化
[779.71 -> 781.31] 那講的是研透不是在
[781.31 -> 783.07] 也不是出新產品
[783.07 -> 785.07] 那代表著在研扣的時間點
[785.07 -> 787.47] 好像是很好的加碼機會
[787.47 -> 789.15] 不過讓表現是出來出了
[789.15 -> 790.75] 對人關稅跟上一次
[790.75 -> 792.11] 剛剛講到失業率高和汗
[792.11 -> 793.31] AI有一運
[793.31 -> 794.59] 有跌比較深
[794.59 -> 797.39] 其實經歷來沒有什麼跌很深的時候
[797.39 -> 798.03] 是
[798.03 -> 800.03] 這個四立多也是立空
[800.03 -> 801.39] 立多就是大家很開心
[801.39 -> 802.83] 立空就是相對而言
[802.83 -> 805.31] 大家要警覺心是相對比較重要
[805.31 -> 806.59] 就像今天我會覺得
[806.59 -> 808.75] 只是正當當大家壓力就很大
[808.75 -> 809.79] 原因就是覺得
[809.79 -> 810.83] 才會不該敵
[810.83 -> 811.95] 我會覺得正當
[811.95 -> 813.63] 敵本來就是正常的
[813.63 -> 815.39] 我會覺得會有這個問題
[815.39 -> 817.39] 那實際上我們在講另外一個
[817.39 -> 819.95] 市場在講的壓力就是ABF在一起
[819.95 -> 822.19] 那短時間來講修正的量程
[822.19 -> 824.59] 那就是講到三清海醫市
[824.59 -> 826.91] 說要砍他們這個長價的部分
[826.91 -> 828.27] 那結論也不重要
[828.27 -> 829.87] 只要記得因為年初的時候
[829.87 -> 832.67] 他挑長的價格3到4%
[832.67 -> 834.75] 然後認為現在這3到4%
[834.75 -> 836.03] 他要把它徒回去
[836.03 -> 838.11] 就是未來不能再長價
[838.11 -> 840.11] 那我覺得那個很嚴重
[840.11 -> 841.87] 看一下三檔這個
[841.87 -> 842.75] 才版的各股
[842.75 -> 845.23] 他們能累積的年輕收增長
[845.23 -> 847.55] 大致上就抓在接近三成左右
[847.55 -> 848.59] 剛好接一個
[848.59 -> 851.15] 對 我另一說他們就有符合這個交付
[851.15 -> 852.51] 那記得一件事情
[852.51 -> 855.07] 他剛剛講他是挑長3到4%
[855.07 -> 857.15] 結果他們的營收是增長3成
[857.15 -> 859.07] 對 所以有沒有了3到4%
[859.07 -> 861.07] 老師想沒有太大的關係
[861.07 -> 864.11] 你說3到4%拿掉正過會不會掉一點會
[864.11 -> 865.95] 但是服度一定非常小
[865.95 -> 867.71] 理論上連5%都不到
[867.71 -> 869.31] 所以代表著他們還是在
[869.31 -> 870.83] 維持增長的態勢
[870.83 -> 872.75] 那結論還是很大的原因
[872.75 -> 874.67] 確實本疫苗相對比較高
[874.67 -> 875.87] 那加上未見你高
[875.87 -> 879.07] 所以現在見到力蝴蝴就會出現大幅拉回
[879.07 -> 881.03] 但是我會覺得他們是正向個個
[881.03 -> 883.63] 五現在拉回訪而是很好的買一點
[883.63 -> 885.31] 請說因為20分鐘分盤
[885.31 -> 887.31] 今天被直接殺到跌停盤
[887.31 -> 888.83] 高點930幾
[888.83 -> 891.87] 現在跌到680734個交易日而已
[891.87 -> 893.71] 是 所以我就說
[893.71 -> 895.39] 那之前在長的時候
[895.39 -> 897.39] 900多都可以買的現在
[897.39 -> 898.75] 剩下600多
[898.75 -> 899.95] 為什麼不能買
[899.95 -> 902.91] 我覺得這個是蠻合理的一個推動
[902.91 -> 904.59] 那基本面都沒有改變
[904.59 -> 906.75] 甚至警署的部分公佈的
[906.75 -> 909.15] 6月0的時候還創立警告
[909.15 -> 911.15] 創立時行告你給他亮慮燈
[911.15 -> 913.15] 正好 也有一點不太合理
[913.15 -> 914.51] 這我個人觀點
[914.51 -> 916.35] 那存在這真的就是長多
[916.35 -> 919.39] 那外傳的立空跟他們一點關係就沒有
[919.39 -> 921.23] 應該不是說未來就算發生
[921.23 -> 923.55] 影響的城市真的小到可以互律
[923.55 -> 924.75] 所以結論而已
[924.75 -> 926.75] 就是長太多就是最大的雄手
[926.75 -> 927.63] 拉回房子
[927.63 -> 929.79] 應該我個人覺得投資了
[929.79 -> 930.91] 如果你今天沒有尷尬
[930.91 -> 931.95] 你要常線投資人
[931.95 -> 934.03] 在這裡房子應該要報警一點
[934.03 -> 934.83] 不要緊張
[934.83 -> 936.99] 好 這個是很有利的信心
[936.99 -> 938.27] 喊話當然如果是
[938.27 -> 939.79] 營收創新高的股票
[939.79 -> 941.15] 還有別人
[941.15 -> 942.35] 那這個修正過後
[942.35 -> 944.11] 哪一些你覺得你已經很甜了
[944.11 -> 945.15] 好 應該這樣講
[945.15 -> 945.95] 這些
[945.95 -> 948.51] 我今天這些篩選的個股兩大條件
[948.51 -> 950.75] 第一個就是營收創立時行告
[950.75 -> 951.55] 第二
[951.55 -> 954.19] 這些他的最近能夠創立時行告
[954.19 -> 955.95] 主要就是因為AI的需求
[955.95 -> 956.91] 代索代動
[956.91 -> 957.55] 我簡單而已
[957.55 -> 960.43] 就是他的產品跟AI有直接的相關
[960.43 -> 961.55] 可是你會發現
[961.55 -> 963.07] 這些就算創立時行告
[963.07 -> 964.27] 其實現在跌的時候
[964.27 -> 965.79] 其實也沒有很客氣
[965.79 -> 967.39] 除了創服是因為開盤
[967.39 -> 969.31] 直接鎖住長期
[969.31 -> 971.07] 所以看起來還有辦法紅的
[971.07 -> 972.43] 其實大家也都不客氣
[972.43 -> 973.71] 真的不客氣
[973.71 -> 974.51] 開高走比
[974.51 -> 975.31] 所以現在結論
[975.31 -> 976.27] 就是因為現在跪
[976.27 -> 977.79] 所以大家都必止人間砍
[977.79 -> 978.99] 我只能說
[978.99 -> 980.99] 這個是一個市場的一個分為
[980.99 -> 982.99] 當市場分為過了之後
[982.99 -> 984.67] 這些所謂累積營收
[984.67 -> 985.71] 表現很強勢
[985.71 -> 987.55] 加上在目前為止
[987.55 -> 989.39] 營收都還在創立時行告
[989.39 -> 991.55] 現在拉回純粹市市場的分為
[991.55 -> 993.47] 你只要身上分為一穩定
[993.47 -> 994.91] 反彈的一定是他們
[994.91 -> 998.11] 他不會要說我也不會去追那些沒有數字的
[998.11 -> 999.39] 然後只是拉回而已
[999.39 -> 1000.51] 我要買拉回
[1000.51 -> 1002.11] 我一定要買拉回而且
[1002.11 -> 1004.19] 目前獲利還能創高的
[1004.19 -> 1005.31] 那其中看到
[1005.31 -> 1006.91] 我們列出來臺光電
[1006.91 -> 1008.99] 或者是這個所謂的製吧
[1008.99 -> 1010.59] 這兩天也是兩根
[1010.59 -> 1012.43] 可以把完全不客氣
[1012.43 -> 1014.43] 在沒有這兩根黑黑棒
[1014.43 -> 1016.43] 前大家都持續合才
[1016.43 -> 1018.27] 因為創立警告
[1018.27 -> 1019.87] 出現兩根黑黑棒
[1019.87 -> 1022.43] 我只能說這種各股保護一個原則
[1022.43 -> 1025.71] 誰跌的越生越該
[1025.71 -> 1027.95] 我們看到這條表格要買誰
[1027.95 -> 1029.31] 反正就在這一段時間
[1029.31 -> 1030.67] 你只要看到兩率
[1030.67 -> 1032.43] 等兩個月多人就買誰
[1032.43 -> 1032.67] 好
[1032.67 -> 1033.87] 這跟前段
[1033.87 -> 1035.95] 前段我們講的沒有數字的
[1035.95 -> 1037.87] 買紅布買黑拉回不要買
[1037.87 -> 1038.67] 這些族群
[1038.67 -> 1040.59] 就是買黑布買紅
[1040.59 -> 1041.95] 誰約跌的越多
[1041.95 -> 1043.39] 你就更該做加碼
[1043.39 -> 1043.79] 好
[1043.79 -> 1044.59] 這個是一個
[1044.59 -> 1046.19] 檢民意懂得方式
[1046.19 -> 1047.39] 營收都創高了
